Boiler pressure (MPa),Boiler temperature (C),Condenser pressure (MPa),Condenser temperature (C),Power out (Watts per unit mass flow rate (kg/s),efficiency
0.5,62.74076704545455,0.1225,19.956427015250544,25.261944499087775,0.11272485075072304
0.5208333333333334,64.21132675065259,0.1225,19.956427015250544,26.02872225492024,0.11561737237343984
0.5416666666666666,65.63000794461468,0.1225,19.956427015250544,26.762272514546027,0.11835890425860922
0.5625,67.00620712185561,0.1225,19.956427015250544,27.48851676562009,0.12106026822191573
0.5833333333333334,68.3526706386537,0.1225,19.956427015250544,28.197379248231442,0.12367497468417549
0.6041666666666666,69.65924532246262,0.1225,19.956427015250544,28.866199559986683,0.1261113985956801
0.625,60.55214723926381,0.1225,19.956427015250544,24.069034811671344,0.10815067302028386
0.6458333333333333,72.17627184091128,0.1225,19.956427015250544,30.132658491862003,0.1306686395235638
0.6666666666666666,73.38295202239598,0.1225,19.956427015250544,30.73805393471966,0.1328229700526234
0.6875,74.56697298802561,0.1225,19.956427015250544,31.323716554795055,0.1348861129054898
0.7083333333333333,75.72728116587766,0.1225,19.956427015250544,31.88872884690315,0.13685590237008693
0.7291666666666666,76.85405501964988,0.1225,19.956427015250544,32.44130403769657,0.13877785464217457
0.75,77.97052518756699,0.1225,19.956427015250544,32.99005783090959,0.1406769185480021
0.7708333333333333,79.04661162710698,0.1225,19.956427015250544,33.513624034599445,0.14247644325113148
0.7916666666666666,80.11710144927537,0.1225,19.956427015250544,34.03313441512725,0.14425098535481787
0.8125,81.15229813664597,0.1225,19.956427015250544,34.5262011572305,0.14592329906019677
0.8333333333333333,82.18071519795657,0.1225,19.956427015250544,35.016019624158986,0.14757516851854624
0.8541666666666666,83.17848020434228,0.1225,19.956427015250544,35.491151984776195,0.14916859194469967
0.875,84.16989843028624,0.1225,19.956427015250544,35.961544472232475,0.1507371573572572
0.8958333333333333,85.13173284087411,0.1225,19.956427015250544,36.40984331178407,0.15222227863068227
0.9166666666666666,86.09025458324055,0.1225,19.956427015250544,36.85613682937114,0.15369304835733286
0.9375,87.01803607214428,0.1225,19.956427015250544,37.28382175069993,0.1550943863407096
0.9583333333333333,87.94581756104802,0.1225,19.956427015250544,37.71150667202872,0.15648885257622
0.9791666666666666,88.84282133906194,0.1225,19.956427015250544,38.12883147124634,0.1578519901577949
1.0,89.73791621911923,0.1225,19.956427015250544,38.545513714037554,0.15920728422442418
0.5,62.74076704545455,0.13822916666666665,23.111808236808233,23.156251758931063,0.10527689620922684
0.5208333333333334,64.21132675065259,0.13822916666666665,23.111808236808233,23.920586258930683,0.10824705095980149
0.5416666666666666,65.63000794461468,0.13822916666666665,23.111808236808233,24.65179050319506,0.11106171636839869
0.5625,67.00620712185561,0.13822916666666665,23.111808236808233,25.375925535266788,0.11383491927472837
0.5833333333333334,68.3526706386537,0.13822916666666665,23.111808236808233,26.082732595955378,0.11651876351891342
0.6041666666666666,69.65924532246262,0.13822916666666665,23.111808236808233,26.749417023473683,0.11901907388333019
0.625,60.55214723926381,0.13822916666666665,23.111808236808233,21.96904535856649,0.10058819496349083
0.6458333333333333,72.17627184091128,0.13822916666666665,23.111808236808233,28.011784358413195,0.12369485596755082
0.6666666666666666,73.38295202239598,0.13822916666666665,23.111808236808233,28.615231158114398,0.12590481565752681
0.6875,74.56697298802561,0.13822916666666665,23.111808236808233,29.198899046575917,0.12802086019771092
0.7083333333333333,75.72728116587766,0.13822916666666665,23.111808236808233,29.7618683756655,0.13004079371730606
0.7291666666666666,76.85405501964988,0.13822916666666665,23.111808236808233,30.31260210036882,0.13201163205166871
0.75,77.97052518756699,0.13822916666666665,23.111808236808233,30.859576339014097,0.13395883260016725
0.7708333333333333,79.04661162710698,0.13822916666666665,23.111808236808233,31.381438682921726,0.13580378916192878
0.7916666666666666,80.11710144927537,0.13822916666666665,23.111808236808233,31.899255693901097,0.13762293334974324
0.8125,81.15229813664597,0.13822916666666665,23.111808236808233,32.39069521949281,0.13933711088319445
0.8333333333333333,82.18071519795657,0.13822916666666665,23.111808236808233,32.87889917756118,0.14103016372448085
0.8541666666666666,83.17848020434228,0.13822916666666665,23.111808236808233,33.352474483169544,0.14266318149395688
0.875,84.16989843028624,0.13822916666666665,23.111808236808233,33.8213218119476,0.14427056720502726
0.8958333333333333,85.13173284087411,0.13822916666666665,23.111808236808233,34.26813094437662,0.14579231083713934
0.9166666666666666,86.09025458324055,0.13822916666666665,23.111808236808233,34.712940964067315,0.14729921094102355
0.9375,87.01803607214428,0.13822916666666665,23.111808236808233,35.13920000666954,0.14873486804933994
0.9583333333333333,87.94581756104802,0.13822916666666665,23.111808236808233,35.56545904927174,0.15016335826027824
0.9791666666666666,88.84282133906194,0.13822916666666665,23.111808236808233,35.98154730700952,0.1515598525576785
1.0,89.73791621911923,0.13822916666666665,23.111808236808233,36.39700475141254,0.15294820893359978
0.5,62.74076704545455,0.15395833333333334,26.02205040091638,21.236888625181194,0.09826880370769044
0.5208333333333334,64.21132675065259,0.15395833333333334,26.02205040091638,21.998932419662168,0.10131399638380166
0.5416666666666666,65.63000794461468,0.15395833333333334,26.02205040091638,22.72793582919192,0.10419932627456775
0.5625,67.00620712185561,0.15395833333333334,26.02205040091638,23.4500888765011,0.10704190848216516
0.5833333333333334,68.3526706386537,0.15395833333333334,26.02205040091638,24.1549636723191,0.10979250281566419
0.6041666666666666,69.65924532246262,0.15395833333333334,26.02205040091638,24.819641470752345,0.11235448393335838
0.625,60.55214723926381,0.15395833333333334,26.02205040091638,20.054757550651573,0.09346842830650078
